tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,payment_type
2026-03-01 18:33:04,2026-03-01 19:25:52,3,12.88,40.87,Cash
2026-03-05 11:43:29,2026-03-05 12:30:37,5,18.57,57.1,No Charge
2026-03-05 14:13:58,2026-03-05 14:31:36,5,19.82,54.75,No Charge
2026-03-07 11:48:55,2026-03-07 12:43:28,2,-1.87,5.23,No Charge
2026-03-06 10:26:21,2026-03-06 10:45:51,3,3.29,15.64,Cash
2026-03-07 04:17:38,2026-03-07 05:09:18,4,8.23,-7.93,Credit Card
2026-03-07 21:43:16,2026-03-07 22:08:01,1,12.1,41.89,Dispute
2026-03-02 14:09:53,2026-03-02 15:07:17,1,24.77,-3.33,No Charge
2026-03-06 15:45:29,2026-03-06 16:08:51,2,0.93,11.62,No Charge
2026-03-03 22:22:43,2026-03-03 22:52:41,2,24.58,73.98,Dispute
2026-03-04 11:08:26,2026-03-04 11:12:59,5,13.56,43.58,Credit Card
2026-03-02 10:20:14,2026-03-02 11:01:36,4,6.26,26.87,Credit Card
2026-03-05 01:52:15,2026-03-05 02:43:45,3,8.22,32.78,No Charge
2026-03-05 22:04:27,2026-03-05 23:03:48,6,24.95,74.03,No Charge
2026-03-05 07:26:33,2026-03-05 07:30:53,5,1.12,13.22,Dispute
2026-03-05 11:49:57,2026-03-05 12:10:49,4,1.05,13.05,Cash
2026-03-04 00:37:46,2026-03-04 00:50:51,6,8.57,31.29,Credit Card
2026-03-05 18:08:43,2026-03-05 18:42:36,6,23.63,71.86,No Charge
2026-03-02 04:55:52,2026-03-02 05:41:28,1,11.84,34.57,Cash
2026-03-05 20:49:14,2026-03-05 21:02:16,4,24.65,68.47,Cash
2026-03-04 05:07:38,2026-03-04 05:49:51,1,10.66,32.47,No Charge
2026-03-05 07:16:45,2026-03-05 07:55:25,1,3.44,12.97,Cash
2026-03-02 06:13:29,2026-03-02 07:10:20,1,8.74,34.81,Credit Card
2026-03-05 17:20:34,2026-03-05 17:50:54,6,17.85,51.82,Credit Card
2026-03-04 01:11:29,2026-03-04 01:41:39,1,9.05,32.75,No Charge
2026-03-04 05:06:47,2026-03-04 05:48:13,6,24.44,70.6,Dispute
2026-03-06 21:04:57,2026-03-06 21:41:28,4,13.06,39.85,Dispute
2026-03-04 00:35:15,2026-03-04 01:06:21,5,8.88,27.56,Credit Card
2026-03-05 11:44:30,2026-03-05 12:05:55,5,23.07,61.8,Cash
2026-03-05 05:16:51,2026-03-05 05:43:43,5,-0.32,6.83,Cash
2026-03-07 09:37:59,2026-03-07 10:12:00,5,3.37,20.9,Cash
2026-03-03 11:29:16,2026-03-03 12:12:13,5,20.2,-3.3,Credit Card
2026-03-07 21:25:30,2026-03-07 21:51:57,5,19.51,56.0,Cash
2026-03-03 14:07:04,2026-03-03 15:04:26,4,-2.96,-1.33,Cash
2026-03-04 06:35:06,2026-03-04 07:02:26,2,13.77,46.25,Cash
2026-03-04 14:22:26,2026-03-04 15:12:18,3,16.79,50.16,Cash
2026-03-03 04:43:14,2026-03-03 05:02:38,6,6.64,29.02,Dispute
2026-03-02 10:10:57,2026-03-02 10:42:45,2,6.28,28.34,Credit Card
2026-03-07 18:12:48,2026-03-07 18:19:02,2,21.87,58.85,No Charge
2026-03-05 06:00:11,2026-03-05 06:46:45,4,5.8,19.23,No Charge
2026-03-04 22:14:41,2026-03-04 22:29:37,4,22.98,68.94,No Charge
2026-03-05 08:44:54,2026-03-05 09:43:17,4,19.32,54.57,Cash
2026-03-05 13:49:54,2026-03-05 14:32:50,3,0.83,13.01,No Charge
2026-03-06 18:31:58,2026-03-06 18:55:31,1,11.54,32.01,Credit Card
2026-03-02 14:39:11,2026-03-02 15:18:49,4,10.72,36.15,No Charge
2026-03-06 07:07:28,2026-03-06 07:25:56,5,18.97,58.1,Credit Card
2026-03-02 13:17:32,2026-03-02 13:42:18,1,1.54,13.13,No Charge
2026-03-07 04:42:19,2026-03-07 04:53:35,2,17.07,50.23,Credit Card
2026-03-03 19:15:35,2026-03-03 19:31:12,6,14.89,42.29,Dispute
2026-03-01 13:16:55,2026-03-01 14:10:49,3,5.22,20.95,Credit Card
2026-03-03 14:17:51,2026-03-03 15:13:26,6,23.41,63.36,No Charge
2026-03-05 04:42:11,2026-03-05 05:03:37,6,19.72,61.6,Credit Card
2026-03-02 01:07:11,2026-03-02 01:20:29,3,3.23,17.31,Cash
2026-03-07 22:38:34,2026-03-07 23:32:23,3,7.93,25.39,Cash
2026-03-01 20:28:29,2026-03-01 21:19:38,2,6.61,28.81,Credit Card
2026-03-06 16:01:50,2026-03-06 16:21:05,2,10.91,33.59,Cash
2026-03-07 10:48:53,2026-03-07 10:57:01,1,11.1,32.93,Credit Card
2026-03-05 16:42:20,2026-03-05 17:23:58,1,13.71,47.01,Credit Card
2026-03-04 01:01:57,2026-03-04 01:05:07,6,17.89,56.85,Cash
2026-03-01 08:13:01,2026-03-01 09:07:01,6,13.79,-4.08,No Charge
2026-03-04 21:47:47,2026-03-04 22:15:08,4,16.56,51.99,No Charge
2026-03-02 09:44:41,2026-03-02 10:28:40,5,16.57,45.56,Credit Card
2026-03-03 12:21:31,2026-03-03 12:29:15,6,6.09,21.89,Cash
2026-03-03 16:25:51,2026-03-03 17:21:26,2,1.59,10.27,Cash
2026-03-05 15:19:41,2026-03-05 16:18:13,4,7.18,24.84,No Charge
2026-03-07 03:03:49,2026-03-07 03:09:40,2,19.58,57.1,No Charge
2026-03-04 10:55:53,2026-03-04 11:10:26,2,1.81,10.29,No Charge
2026-03-04 00:05:53,2026-03-04 00:19:32,2,-1.62,5.99,No Charge
2026-03-01 11:11:34,2026-03-01 11:59:54,3,12.96,43.56,Credit Card
2026-03-04 18:10:06,2026-03-04 18:21:16,1,18.71,59.59,Cash
2026-03-05 04:53:23,2026-03-05 05:47:56,1,23.4,69.52,Credit Card
2026-03-07 12:45:44,2026-03-07 13:25:05,6,6.79,21.21,Credit Card
2026-03-01 01:35:20,2026-03-01 01:43:14,2,16.7,51.65,Dispute
2026-03-04 00:40:36,2026-03-04 00:47:47,1,24.51,73.41,Credit Card
2026-03-04 07:10:39,2026-03-04 07:14:47,5,8.3,29.8,Credit Card
2026-03-06 08:11:57,2026-03-06 08:45:50,4,4.09,22.83,No Charge
2026-03-05 13:10:09,2026-03-05 13:26:05,3,7.21,29.48,Dispute
2026-03-07 15:35:31,2026-03-07 16:07:19,3,8.74,31.35,Cash
2026-03-01 12:28:11,2026-03-01 12:54:52,4,11.48,40.76,Dispute
2026-03-06 18:23:16,2026-03-06 19:19:06,3,0.63,10.71,No Charge
2026-03-02 03:44:06,2026-03-02 04:25:42,4,18.28,58.13,Credit Card
2026-03-07 11:42:31,2026-03-07 12:11:16,6,-0.39,11.46,Credit Card
2026-03-07 02:04:11,2026-03-07 03:01:45,2,23.07,-2.66,No Charge
2026-03-03 02:47:09,2026-03-03 03:31:03,1,5.16,17.74,Cash
2026-03-06 16:55:59,2026-03-06 17:48:43,4,7.49,-5.46,Dispute
2026-03-06 00:29:22,2026-03-06 00:52:47,4,14.13,45.84,Credit Card
2026-03-01 12:23:31,2026-03-01 13:00:31,6,12.6,40.72,Cash
2026-03-05 00:31:32,2026-03-05 01:06:23,6,24.53,69.71,No Charge
2026-03-05 12:44:16,2026-03-05 12:55:09,1,15.23,42.53,Credit Card
2026-03-07 09:20:07,2026-03-07 09:36:04,2,23.41,65.07,Cash
2026-03-07 05:16:59,2026-03-07 06:14:46,1,20.84,59.28,No Charge
2026-03-01 10:09:08,2026-03-01 11:03:36,5,17.66,55.17,Cash
2026-03-02 09:42:59,2026-03-02 10:22:01,6,11.78,32.49,Credit Card
2026-03-02 13:28:06,2026-03-02 13:39:26,2,11.09,30.87,Dispute
2026-03-01 16:38:42,2026-03-01 17:18:55,2,20.12,60.65,Credit Card
2026-03-04 06:45:10,2026-03-04 07:38:36,6,8.59,-4.5,Dispute
2026-03-06 12:32:24,2026-03-06 13:24:47,5,9.05,32.65,Cash
2026-03-05 13:02:50,2026-03-05 13:59:18,4,4.65,22.62,No Charge
2026-03-01 11:39:20,2026-03-01 12:32:04,3,24.77,70.15,Credit Card
2026-03-01 17:32:06,2026-03-01 17:51:01,5,12.64,-6.5,Dispute
2026-03-01 18:34:46,2026-03-01 19:18:23,1,16.91,50.58,Dispute
2026-03-04 19:19:05,2026-03-04 19:52:41,5,1.51,12.15,Credit Card
2026-03-02 01:57:19,2026-03-02 02:37:04,6,19.35,58.85,Credit Card
2026-03-01 02:49:27,2026-03-01 03:10:51,5,24.63,69.91,Credit Card
2026-03-05 12:13:20,2026-03-05 12:16:30,2,19.55,60.98,Dispute
2026-03-04 00:38:53,2026-03-04 00:48:52,2,21.45,58.47,Dispute
2026-03-06 06:07:15,2026-03-06 06:23:59,1,5.38,16.98,Dispute
2026-03-07 20:43:35,2026-03-07 20:55:07,3,1.11,6.33,No Charge
2026-03-06 05:40:17,2026-03-06 06:39:49,2,2.0,15.16,Dispute
2026-03-04 15:35:30,2026-03-04 15:40:07,5,13.8,40.33,Credit Card
2026-03-01 20:07:26,2026-03-01 20:36:12,1,22.39,59.62,No Charge
2026-03-07 16:02:56,2026-03-07 16:21:03,4,4.78,-2.54,Cash
2026-03-05 03:06:31,2026-03-05 03:34:09,4,12.77,38.23,No Charge
2026-03-06 08:48:10,2026-03-06 08:54:20,1,-0.65,6.67,Dispute
2026-03-04 00:53:24,2026-03-04 01:12:53,2,12.96,45.12,Credit Card
2026-03-03 20:50:20,2026-03-03 21:24:55,4,-2.72,4.07,No Charge
2026-03-01 22:53:53,2026-03-01 23:08:17,1,23.67,71.11,Cash
2026-03-04 19:46:24,2026-03-04 20:13:57,2,8.44,29.93,Credit Card
2026-03-01 10:09:58,2026-03-01 10:58:58,5,19.47,57.37,Dispute
2026-03-06 12:35:32,2026-03-06 13:14:13,3,8.32,30.55,No Charge
2026-03-02 18:43:56,2026-03-02 18:58:49,6,5.84,26.59,Cash
2026-03-03 12:37:44,2026-03-03 12:52:10,2,-0.39,6.14,Cash
2026-03-04 21:41:15,2026-03-04 22:19:19,3,19.44,-0.06,No Charge
2026-03-03 15:18:10,2026-03-03 15:51:00,2,23.43,65.11,Credit Card
2026-03-01 19:48:53,2026-03-01 20:46:23,5,24.27,71.66,Cash
2026-03-02 16:58:22,2026-03-02 17:35:31,6,21.06,59.94,Cash
2026-03-02 21:45:06,2026-03-02 22:17:14,1,13.98,42.61,Credit Card
2026-03-05 11:32:40,2026-03-05 12:30:35,5,24.5,64.4,Dispute
2026-03-02 02:41:49,2026-03-02 03:33:00,5,12.63,40.02,Dispute
2026-03-02 19:38:34,2026-03-02 20:12:55,2,18.51,56.47,Credit Card
2026-03-04 03:49:25,2026-03-04 03:58:10,1,19.47,56.35,Credit Card
2026-03-01 02:52:03,2026-03-01 03:04:29,3,23.03,69.82,No Charge
2026-03-06 04:14:01,2026-03-06 04:42:35,1,11.92,38.42,No Charge
2026-03-04 04:06:04,2026-03-04 04:48:45,3,12.73,44.32,Dispute
2026-03-03 10:54:15,2026-03-03 11:03:21,2,1.76,10.35,Credit Card
2026-03-03 23:05:01,2026-03-03 23:41:31,6,8.25,30.53,Dispute
2026-03-02 04:21:57,2026-03-02 04:45:55,5,8.71,34.64,No Charge
2026-03-05 06:04:45,2026-03-05 06:32:29,4,-1.14,6.12,No Charge
2026-03-07 00:11:47,2026-03-07 00:55:13,3,21.09,63.75,Cash
2026-03-04 07:33:16,2026-03-04 07:41:13,5,8.29,28.84,Credit Card
2026-03-02 10:12:40,2026-03-02 10:46:38,3,12.13,39.9,Dispute
2026-03-07 03:47:00,2026-03-07 04:28:37,5,14.74,44.65,Cash
2026-03-05 23:29:00,2026-03-06 00:28:40,4,5.1,17.84,Credit Card
2026-03-02 21:22:46,2026-03-02 21:52:59,3,14.74,41.47,Credit Card
2026-03-01 05:37:23,2026-03-01 06:22:40,2,0.99,9.63,No Charge
2026-03-03 23:33:07,2026-03-04 00:28:41,5,17.36,54.27,Dispute
2026-03-03 17:52:05,2026-03-03 18:13:23,1,-4.06,-0.88,Credit Card
2026-03-07 04:24:45,2026-03-07 04:31:55,5,14.18,43.78,Dispute
2026-03-02 06:20:01,2026-03-02 07:07:45,5,8.81,34.03,Cash
2026-03-04 13:48:22,2026-03-04 14:15:32,2,8.31,32.28,No Charge
2026-03-07 23:34:18,2026-03-07 23:59:00,3,5.15,24.46,Credit Card
2026-03-02 09:18:04,2026-03-02 10:02:39,1,0.99,7.79,Cash
2026-03-02 18:32:25,2026-03-02 19:16:52,5,6.62,-8.31,Dispute
2026-03-07 20:31:00,2026-03-07 20:50:55,2,14.44,45.51,Credit Card
2026-03-01 23:39:36,2026-03-02 00:23:16,3,13.37,38.7,Credit Card
2026-03-02 22:37:41,2026-03-02 23:03:51,1,16.15,45.25,Dispute
2026-03-02 02:07:16,2026-03-02 02:58:37,1,21.75,60.68,Cash
2026-03-02 23:20:55,2026-03-02 23:26:00,3,7.16,22.15,Credit Card
2026-03-04 12:33:43,2026-03-04 12:53:39,6,2.16,11.99,Cash
2026-03-04 08:09:12,2026-03-04 08:25:01,6,3.49,15.13,Credit Card
2026-03-07 13:23:38,2026-03-07 13:40:24,1,14.19,48.01,Cash
2026-03-02 19:23:55,2026-03-02 20:00:15,2,10.04,-0.46,Cash
2026-03-06 21:10:31,2026-03-06 21:59:03,4,22.69,66.3,Credit Card
2026-03-03 20:26:08,2026-03-03 20:55:05,3,11.57,36.59,Cash
2026-03-04 01:31:01,2026-03-04 02:29:50,5,15.78,47.61,Credit Card
2026-03-02 08:05:46,2026-03-02 08:09:34,3,6.87,25.12,Credit Card
2026-03-07 00:55:33,2026-03-07 01:32:57,1,10.81,32.09,Credit Card
2026-03-02 21:39:06,2026-03-02 22:37:02,2,1.89,8.56,Credit Card
2026-03-07 15:29:33,2026-03-07 15:45:02,5,14.45,-1.69,No Charge
2026-03-06 03:38:48,2026-03-06 04:05:57,6,15.48,45.68,Credit Card
2026-03-06 23:52:44,2026-03-07 00:46:26,4,3.86,16.72,No Charge
2026-03-01 07:01:36,2026-03-01 07:52:34,3,17.6,54.79,Cash
2026-03-03 14:49:07,2026-03-03 15:04:22,4,22.88,63.14,Cash
2026-03-04 08:38:59,2026-03-04 09:34:37,5,15.27,48.97,Cash
2026-03-01 15:46:12,2026-03-01 16:06:45,1,1.79,11.55,Dispute
2026-03-04 01:20:50,2026-03-04 01:35:10,2,4.34,14.86,Credit Card
2026-03-04 20:23:11,2026-03-04 20:32:20,1,1.85,8.5,Cash
2026-03-02 00:23:37,2026-03-02 00:47:12,4,1.55,9.55,No Charge
2026-03-05 14:27:21,2026-03-05 14:48:11,4,4.49,-9.65,Dispute
2026-03-01 05:59:42,2026-03-01 06:22:56,2,-2.83,-2.21,No Charge
2026-03-04 17:19:24,2026-03-04 17:23:19,3,13.74,46.28,Cash
2026-03-05 11:25:30,2026-03-05 12:09:06,6,11.44,39.04,Cash
2026-03-02 08:42:57,2026-03-02 09:00:19,5,13.26,42.85,Credit Card
2026-03-07 06:17:15,2026-03-07 06:31:49,2,9.62,34.01,Cash
2026-03-07 21:27:48,2026-03-07 22:07:17,6,11.74,41.2,Credit Card
2026-03-04 10:42:39,2026-03-04 11:00:46,1,0.87,10.01,Credit Card
2026-03-07 17:34:36,2026-03-07 18:02:06,3,3.07,20.17,Credit Card
2026-03-06 22:58:40,2026-03-06 23:09:05,1,-3.7,-1.7,Cash
2026-03-02 13:01:11,2026-03-02 13:57:20,5,23.95,64.62,No Charge
2026-03-04 12:21:53,2026-03-04 12:52:26,2,10.7,39.24,Dispute
2026-03-01 06:39:38,2026-03-01 06:52:03,6,6.31,26.18,Credit Card
2026-03-04 03:55:36,2026-03-04 04:22:30,5,18.89,54.75,Credit Card
2026-03-07 02:33:48,2026-03-07 02:45:21,2,4.61,21.45,Dispute
2026-03-04 00:03:21,2026-03-04 00:47:50,1,3.82,-2.0,Credit Card
2026-03-06 08:11:05,2026-03-06 08:52:38,1,1.98,12.68,Cash
2026-03-03 18:55:52,2026-03-03 19:04:24,5,21.72,61.8,Dispute
2026-03-07 19:37:54,2026-03-07 19:50:41,4,14.47,47.38,No Charge
2026-03-06 01:38:38,2026-03-06 02:34:46,6,4.42,22.23,Cash
2026-03-06 15:52:57,2026-03-06 16:06:16,6,23.62,63.77,No Charge
2026-03-02 00:47:28,2026-03-02 01:46:03,1,2.22,17.16,Dispute
2026-03-02 06:54:13,2026-03-02 07:26:29,1,16.85,47.36,Credit Card
2026-03-03 05:49:36,2026-03-03 06:18:44,4,2.5,18.84,Credit Card
2026-03-02 22:37:35,2026-03-02 22:58:43,2,20.08,58.33,Cash
2026-03-07 22:27:00,2026-03-07 22:36:42,4,20.45,54.77,No Charge
2026-03-01 00:18:04,2026-03-01 01:05:18,6,19.87,55.69,Credit Card
2026-03-06 20:38:50,2026-03-06 21:33:22,5,17.22,46.59,Credit Card
2026-03-06 17:15:52,2026-03-06 17:22:38,5,7.62,25.34,Dispute
2026-03-01 06:12:11,2026-03-01 06:17:54,5,16.75,51.14,Credit Card
2026-03-06 14:47:17,2026-03-06 15:16:38,5,18.46,49.91,Cash
2026-03-07 14:36:37,2026-03-07 15:21:01,4,12.21,42.38,Cash
2026-03-06 14:25:03,2026-03-06 15:18:45,1,1.45,7.1,Credit Card
2026-03-02 17:50:09,2026-03-02 18:36:54,1,17.65,51.79,Credit Card
2026-03-05 03:28:11,2026-03-05 03:49:56,6,3.19,19.52,Dispute
2026-03-05 11:25:12,2026-03-05 12:20:37,1,5.54,22.33,No Charge
2026-03-03 06:48:14,2026-03-03 07:44:21,2,2.07,15.77,No Charge
2026-03-03 08:59:55,2026-03-03 09:41:50,3,1.58,7.89,Cash
2026-03-01 16:08:25,2026-03-01 16:43:07,2,0.96,10.24,Credit Card
2026-03-04 04:14:03,2026-03-04 04:24:31,1,19.26,52.87,Cash
2026-03-02 12:10:33,2026-03-02 13:02:40,6,12.68,38.21,Cash
2026-03-03 13:09:48,2026-03-03 13:15:55,4,2.05,12.06,No Charge
2026-03-02 05:32:08,2026-03-02 05:54:33,1,9.11,33.9,Dispute
2026-03-05 01:23:28,2026-03-05 02:14:44,5,3.96,16.17,Credit Card
2026-03-06 07:40:37,2026-03-06 08:26:10,1,19.93,56.58,Credit Card
2026-03-01 05:38:54,2026-03-01 06:13:10,6,8.65,31.61,Credit Card
2026-03-03 10:05:58,2026-03-03 10:49:56,2,5.64,26.45,Cash
2026-03-07 14:51:13,2026-03-07 15:33:37,5,0.84,12.08,Dispute
2026-03-05 00:28:34,2026-03-05 00:33:30,2,-2.66,-3.14,Credit Card
2026-03-04 19:22:17,2026-03-04 20:00:17,3,15.68,43.08,No Charge
2026-03-03 15:56:00,2026-03-03 16:35:27,1,7.53,24.49,Dispute
2026-03-03 03:31:48,2026-03-03 04:31:21,5,20.85,59.37,Cash
2026-03-05 20:34:52,2026-03-05 21:12:22,1,21.5,57.62,Credit Card
2026-03-02 05:20:38,2026-03-02 05:32:15,4,10.85,30.74,Dispute
2026-03-07 04:50:09,2026-03-07 05:44:04,2,6.11,22.26,Dispute
2026-03-06 11:48:16,2026-03-06 11:51:55,3,13.54,37.71,Cash
2026-03-01 10:43:55,2026-03-01 10:52:56,6,10.05,32.42,Cash
2026-03-04 22:28:21,2026-03-04 22:39:20,2,14.44,48.65,Dispute
2026-03-01 14:25:18,2026-03-01 14:41:57,2,5.41,16.7,Cash
2026-03-06 12:13:34,2026-03-06 12:58:20,6,18.77,56.02,Credit Card
2026-03-07 04:44:00,2026-03-07 05:42:15,4,13.47,43.53,Dispute
2026-03-06 20:41:21,2026-03-06 21:06:18,4,5.92,25.08,No Charge
2026-03-02 19:53:23,2026-03-02 20:40:38,3,14.76,45.23,Dispute
2026-03-05 05:15:03,2026-03-05 05:48:27,1,3.17,19.0,No Charge
2026-03-02 13:34:39,2026-03-02 14:01:42,1,19.02,60.44,Credit Card
2026-03-06 16:11:08,2026-03-06 16:55:38,5,13.08,40.97,Cash
2026-03-07 22:23:33,2026-03-07 23:14:55,4,24.79,68.58,No Charge
2026-03-02 22:01:44,2026-03-02 22:30:28,1,17.83,55.68,Cash
2026-03-06 09:05:24,2026-03-06 09:09:11,4,14.08,43.12,Dispute
2026-03-06 01:37:57,2026-03-06 02:37:30,4,8.6,34.18,No Charge
2026-03-07 05:47:25,2026-03-07 06:01:11,1,19.19,52.58,No Charge
2026-03-02 05:48:50,2026-03-02 05:53:29,2,10.66,-6.4,No Charge
2026-03-02 12:12:32,2026-03-02 12:41:08,1,24.09,71.91,Dispute
2026-03-05 09:53:57,2026-03-05 10:44:59,2,5.25,19.34,No Charge
2026-03-04 09:07:59,2026-03-04 09:47:44,4,16.93,50.48,Cash
2026-03-06 11:08:10,2026-03-06 11:36:30,2,3.76,20.92,No Charge
2026-03-07 11:58:41,2026-03-07 12:08:58,5,20.48,58.6,Dispute
2026-03-07 10:09:23,2026-03-07 10:46:23,6,4.0,19.83,Credit Card
2026-03-06 16:57:47,2026-03-06 17:22:11,4,23.74,70.97,No Charge
2026-03-01 19:00:43,2026-03-01 19:37:45,1,13.29,46.13,Dispute
2026-03-04 13:55:55,2026-03-04 14:49:45,4,2.7,11.68,Cash
2026-03-01 07:37:36,2026-03-01 08:22:01,4,12.22,37.09,No Charge
2026-03-03 23:54:30,2026-03-04 00:37:16,6,15.33,48.9,No Charge
2026-03-05 02:49:09,2026-03-05 03:02:30,4,14.9,49.63,Cash
2026-03-01 13:46:54,2026-03-01 14:02:03,5,12.51,36.16,Dispute
2026-03-07 16:33:23,2026-03-07 17:28:23,4,5.79,24.12,No Charge
2026-03-04 03:26:02,2026-03-04 04:18:33,4,10.33,33.88,No Charge
2026-03-06 10:00:01,2026-03-06 10:19:54,4,13.94,44.95,Cash
2026-03-02 11:03:13,2026-03-02 11:49:15,3,2.65,10.19,Dispute
2026-03-03 12:38:07,2026-03-03 13:18:16,3,17.82,-9.65,Credit Card
2026-03-04 23:13:23,2026-03-04 23:57:52,3,1.42,15.33,Credit Card
2026-03-03 11:57:48,2026-03-03 12:13:01,1,7.51,26.31,No Charge
2026-03-07 16:50:07,2026-03-07 17:08:52,1,21.95,61.85,Credit Card
2026-03-04 14:52:05,2026-03-04 15:41:31,2,1.41,12.5,Dispute
2026-03-03 21:46:54,2026-03-03 22:13:43,2,-1.83,6.74,Credit Card
2026-03-04 00:02:29,2026-03-04 00:52:38,3,3.48,20.59,No Charge
2026-03-03 05:03:05,2026-03-03 05:35:37,6,7.93,22.88,Dispute
2026-03-01 16:53:16,2026-03-01 17:48:25,5,3.82,18.46,Dispute
2026-03-03 15:18:17,2026-03-03 16:11:19,3,3.7,14.1,Cash
2026-03-06 22:58:19,2026-03-06 23:12:40,3,17.04,46.84,Credit Card
2026-03-04 06:16:43,2026-03-04 07:12:05,1,7.65,23.43,Credit Card
2026-03-01 20:07:25,2026-03-01 20:39:25,3,0.85,5.67,No Charge
2026-03-07 13:29:26,2026-03-07 13:55:48,3,0.69,10.63,Credit Card
2026-03-07 00:46:20,2026-03-07 00:58:36,5,13.82,44.2,No Charge
2026-03-06 17:14:20,2026-03-06 18:06:15,2,3.35,12.59,Cash
2026-03-06 00:14:53,2026-03-06 00:50:41,4,5.24,17.76,Credit Card
2026-03-04 21:32:51,2026-03-04 22:12:59,3,2.73,19.46,Credit Card
2026-03-01 21:19:32,2026-03-01 21:51:13,6,12.51,43.87,No Charge
2026-03-02 04:51:25,2026-03-02 05:12:33,1,1.39,11.7,Cash
2026-03-01 05:33:06,2026-03-01 06:06:36,5,8.57,27.65,Dispute
2026-03-04 17:49:02,2026-03-04 18:11:28,3,24.8,69.29,Dispute
2026-03-06 17:55:29,2026-03-06 18:09:17,3,9.78,-9.42,Credit Card
2026-03-07 17:28:01,2026-03-07 17:46:16,1,18.96,52.64,Credit Card
2026-03-02 21:03:09,2026-03-02 21:45:40,4,21.98,65.53,Credit Card
2026-03-02 09:45:27,2026-03-02 10:09:45,1,14.97,49.18,Cash
2026-03-01 08:23:36,2026-03-01 08:49:51,3,13.37,43.87,Credit Card
2026-03-04 09:45:09,2026-03-04 10:42:59,6,20.3,57.99,Cash
2026-03-01 08:23:09,2026-03-01 08:59:45,6,2.34,12.51,Cash
2026-03-02 10:45:39,2026-03-02 11:12:08,2,5.7,24.75,Cash
2026-03-01 07:12:16,2026-03-01 07:26:52,5,21.61,63.14,No Charge
2026-03-05 06:58:05,2026-03-05 07:40:56,3,2.45,11.14,Dispute
2026-03-05 00:55:50,2026-03-05 01:12:07,2,22.92,69.4,No Charge
2026-03-03 17:29:00,2026-03-03 17:46:00,6,20.37,55.26,Dispute
